#         ms          mr          mg          mh           d        psat        dn4k         sfr      hdelta        rexp     nsersic         con       sigv1          ka
#
   1.031e+10      -18.72      -17.99   2.395e+11           0           0       1.441       -10.6     -0.0389       9.968      0.7437       2.316        67.9           0
   2.172e+10      -19.83       -19.1   3.656e+11           0           0       1.194      -9.964       2.689       6.499      0.9389       2.145       90.24           0
   1.126e+11      -20.99       -20.1   3.907e+12           0           0        1.88      -12.06      -2.142       4.945           6       3.045       180.8           0
   1.744e+10      -19.25      -18.51   3.164e+11           0           0       1.402      -10.48       1.464       4.546        2.01       2.853       69.48           0
   4.516e+10      -19.81      -18.87   6.911e+11           0           0       1.786      -11.86      -1.204         3.3       2.722        2.61         128           0
   5.314e+09      -18.81      -18.29   1.752e+11           0      0.1321       1.237      -9.926       2.811       4.274      0.9661       2.392       47.45           0
   8.864e+09      -18.12      -17.31   2.217e+11           0           0       1.372       -10.1       4.182       3.795        0.79       2.468       71.46           0
    5.55e+09      -18.67         -18   1.783e+11           0           0       1.263      -10.01       2.894       5.108      0.9582       2.455       72.88           0
   5.481e+09      -18.52      -17.91   1.776e+11           0           0       1.229      -9.963       4.501       5.669       1.002       2.556       49.17           0
   1.284e+10      -18.89      -18.23   2.666e+11           0           0       1.453      -10.26       1.564       3.832       2.539       2.807       77.54           0
   6.545e+10       -19.9      -18.99   1.049e+12           0           0       1.748      -11.53     -0.2572       6.416       1.734       3.063       124.2           0
   6.197e+09      -18.03      -17.23   1.873e+11           0           0       1.407      -10.63       4.049       2.265       2.261       2.732       31.41           0
   1.206e+10      -19.04       -18.2   2.577e+11           0           0       1.696      -11.72    -0.00828       2.482       5.611       3.172       84.21           0
   5.176e+09      -18.72      -18.21   1.734e+11           0           0         1.3      -9.781       3.089       9.001       1.203       2.793       65.39           0
   2.228e+10      -19.05      -18.14   3.725e+11           0           0       1.541      -10.75       1.512       4.586       1.525       2.601       64.06           0
   7.197e+10      -20.33      -19.61   1.191e+12           0           0       1.443      -10.26       1.613       6.589       2.564       2.854       99.47           0
   9.421e+09      -19.42       -19.1    2.29e+11           0           0       1.244      -9.616       3.657       6.519      0.8975       2.022       24.48           0
   3.931e+10      -19.62      -18.79   5.962e+11           0           0       1.433      -10.56      0.8431       11.07      0.8648       2.524       104.2           0
   1.963e+10      -19.52       -18.7   3.413e+11           0           0       1.255      -10.08       2.546       7.179       1.631       2.311       67.24           0
    4.78e+10      -19.86      -18.89   7.331e+11           0           0       1.937      -12.12      -2.197       2.704       5.208       3.173         171           0
   4.585e+10      -20.16      -19.37   6.996e+11           0           0       1.481      -10.53       2.614       9.818       1.138       2.532       84.74           0
   6.786e+09      -18.82      -18.39   1.954e+11           0           0       1.092      -9.457       3.836         2.2       5.271       2.949       34.35           0
    1.74e+11      -21.13      -20.22   6.568e+12           0           0       1.837      -12.23      -1.616       7.689       4.362       2.815       174.2           0
   7.176e+09      -18.12      -17.35   2.003e+11           0           0       1.584       -10.8      -2.799       2.816         4.3       2.549        51.5           0
   6.666e+09      -19.17      -18.77   1.936e+11           0           0       1.311      -9.652       2.891       7.696       1.273       2.152       39.83           0
   1.346e+10      -19.78      -19.18   2.735e+11           0           0       1.199      -9.953       1.334       5.498       4.886       2.533       69.64           1
   6.414e+09      -18.25      -17.45   1.905e+11           0           0       1.387      -10.18       4.315        2.75       2.111       2.876       58.91           0
   1.121e+11      -20.97      -20.31   2.267e+12           0           0       1.524      -10.55      0.6508       10.99        1.37        2.16       105.2           0
   1.053e+10      -18.97      -18.23   2.419e+11           0           0       1.555      -11.25       1.341       1.403           6       3.304        85.3           1
    3.35e+10      -19.64      -18.69   5.136e+11           0           0       1.807      -11.78      -1.338       2.268       4.711        3.14       125.6           0
